,label,location,tweet_text
0,0,"Milford, CT",million unborn children have lost their lives to think #stevejobs #davethomas
1,0,"Atlanta, Georgia",#prolife #parenthood #babies #motherhood #pregnant #pp #plannedparenthood #genocide for money #bloodmoney #maga
2,0,,definitely not safe for baby
3,0,,i think she wants to see herself as #prolife and pro but with no empathy for unborn
4,0,,I hate abortion
5,1,"Columbus, OH",along party lines fetal remains burial cremation bill passes #ohio senate - along party lines heads to house
6,0,"Columbus, OH",girl scout troops leave #ohio senate in middle of bill debate
7,1,"Columbus, OH",but firstanother bill in #ohio senate this would require bury or cremate fetus remains
8,1,Alabama,stand by for onslaught of triggered liberals well done
9,0,Somewhere in North West,is #electivesurgery it should never be free of charge
10,0,,destroying life doesn't make life better it takes life leaves you empty #depression #prolife #istandlife #marchforlife
12,0,Ireland,what do you think about decision to limit access in #ireland to #weeks vote here
13,0,ExpectTheHolySpirit,i plead blood of jesus over my sins and sins of america #god end and send #revival to #america #jesus heal #america
14,0,"Taluyers, France",tomi is an abortionist #prolife
15,0,,should be illegal period abortionismurder
16,1,"Chicago, IL",are good for society there i said it #notsorry #babymurder
17,0,"Austin, TX",sad to see advertising condoning #planbonestep
18,0,,if i got pregnant right now i can honestly say my first reaction would not be
19,1,SisterPress,to those fucks who go around spewing their values all over our laws #reproductiverights #choice #charter #humanrights #cdnpoli
20,0,"Blarney, Co. Cork, Ireland.",as case against her has with
21,0,,imagine if you had an like millions and millions of females in #america wow crazy
22,1,"Washington, D.C.",care is #healthcare rt if you agree
23,0,"Phoenix, AZ ♥",vote yes on hr to protect babies who have been born alive during an
24,0,"Oregon, USA",are they worrying about miscarriages in ice custody when they probably support abortionismurder
25,1,USA,you says you can't build future with other people's babies just need legalized for existing sprogs
26,1,,fuck them babies
27,1,Canada,how many #africanamericans and #nativeamericans they have murdered and they worry about
28,0,,no one has right to take life because it is god's property #deathpenalty
29,0,Fordham University,annual reminder that being #feminist and opposed to are not contradictory conditions
30,1,"Cleveland, Ohio",this is term i would like to abort #impeach please
31,,,
32,,Gallifrey,you should see us on and #religion we would be most dangerous animal alive if we all agreed on topic
33,1,,surely anyone who stands outside an clinic protesting in disturbing manner is #selfish #moralistic #hooligan
34,0,,#fdlx protesters 'said i was murderer' #news
35,0,ExpectTheHolySpirit,i plead blood of jesus over my sins and sins of our nation #god end and send #revival to #america #jesus heal #america
36,0,,brilliant and mature reply barbie has an attitude
37,,United Kingdom,more balanced reporting on on protesters #impartialbbc i think not
38,0,,most women decline option for fetal anaesthesia when they have an why you guessed it
39,,United Kingdom,wow program didnt have its own view on much did it #impartialbbc not
40,1,Bristol,anti-abortion vigils could be banned good some aren't out of choice #prolife #bbcnews #victorialive
41,1,"Birmingham, UK",being discussed on #victorialive if you don't want one don't have one but leave other women alone to choose
42,0,USA,was madness #islam symtom both curse of our generation
43,0,,keep waiting i cant chat all day sells baby parts is murder
44,0,"Connecticut, USA",abortionrape #lorionliberty
45,0,"New Hampshire, USA",is indeed murder #prolife
46,0,"Longs, SC",i maintain that if procedure for was never created world would not be worse off #prolife
47,0,The Beautiful South,it shouldnt be taboo to criticize parents for killing them either
48,0,"Lake Forest, CA",calling me names is not going to stop and it wouldnt even if i didnt believe abortionismurder
49,,Indiana,i bet durbin sneaks into communion line when he thinks bishop paprocki isn't looking #catholic
50,1,France ,#polska girls and women we stand with you is right keep on fighting #aborcja #poland
51,0,,how can you be angry about deporting children if you are ok with aborting them #prolife #democrats #daca #immigration #dacadeal
52,,,thoughts id like an even approach to
53,0,,#justintrudeau is murderwho cares what #trudeau says
54,1,United States,retweet if i forgot i support for what
55,0,Chicagoland,is bad for women #lovesaveslives #marchlifechi
56,0,,if you had an don't raise your hand fix your face because it's ugly after that demon and unclean spirit gets rebuked
57,0,"Texas, USA",if you don't consider nasty word then you should shut your morally relative mouth regarding word #chithole
58,1,"Europe, Middle East, Africa, Asia, Americas",thousands protest in #warsaw against proposed legislation restricting on january #poland
59,0,,as we approach anniversary of roe v wade if women children aren't problem why is solution #whywemarch
60,0,Assisting the naive ,'not judging but girls that use plan b as birth control should really consider using condoms #sterile #health #responsible
61,0,"Sydney, New South Wales",it amazes me how human #fetus is just 'lump of cells' but on #mars anything that's cell is 'life' #prolife
62,0,Live With The Word Within You.,and sad fact is that there were #healthy #babies who weighed more and were given zero chance
63,0,,voices for voiceless he wishes to silence #prolife
64,0,ZA,but we do have 'our' innocent babies being killed by state
65,1,Vestavia Hills. Alabama,serious question what does it mean when an advocate of re-criminalizing says an embryo or fetus is innocent
66,1,,get spine and handle nuclear holocaust like what it is - post-birth i thought #democrats liked
