,label,location,tweet_text
5,1,"Columbus, OH",along party lines fetal remains burial cremation bill passes #ohio senate - along party lines heads to house
7,1,"Columbus, OH",but firstanother bill in #ohio senate this would require bury or cremate fetus remains
8,1,Alabama,stand by for onslaught of triggered liberals well done
15,1,"Chicago, IL",are good for society there i said it #notsorry #babymurder
18,1,SisterPress,to those fucks who go around spewing their values all over our laws #reproductiverights #choice #charter #humanrights #cdnpoli
21,1,"Washington, D.C.",care is #healthcare rt if you agree
24,1,USA,you says you can't build future with other people's babies just need legalized for existing sprogs
25,1,,fuck them babies
26,1,Canada,how many #africanamericans and #nativeamericans they have murdered and they worry about
29,1,"Cleveland, Ohio",this is term i would like to abort #impeach please
32,1,,surely anyone who stands outside an clinic protesting in disturbing manner is #selfish #moralistic #hooligan
39,1,Bristol,anti-abortion vigils could be banned good some aren't out of choice #prolife #bbcnews #victorialive
40,1,"Birmingham, UK",being discussed on #victorialive if you don't want one don't have one but leave other women alone to choose
49,1,France ,#polska girls and women we stand with you is right keep on fighting #aborcja #poland
53,1,United States,retweet if i forgot i support for what
57,1,"Europe, Middle East, Africa, Asia, Americas",thousands protest in #warsaw against proposed legislation restricting on january #poland
64,1,Vestavia Hills. Alabama,serious question what does it mean when an advocate of re-criminalizing says an embryo or fetus is innocent
65,1,,get spine and handle nuclear holocaust like what it is - post-birth i thought #democrats liked
67,1,United Kingdom,heaven forfend anyone should be out of step with fashionable consensus is joke #freespeech
68,1,,it was almost one giant for #hawaii - i thought liberals #democrats loved #prochoice #icbm
77,1,,should be charter right
81,1,,is #womans right get out of #mywomb
83,1,"Colorado Springs, CO",you can't be against and then simultaneously shit on #women who give their child up for adoption #tf
86,1,"Midland, TX",realities of #plannedparenthood
100,1,"Washington, D.C.",california has chance to expand medication access on campuses with #senatebill we proudly support this bill
104,1,,loss is loss just because you choose to have an does not mean its not loss #guiltafterabortion #loss
105,1,"Costa Mesa, CA",match #rino gov candidate to their planned parenthood pro score
110,1,northern New Jersey,if we can say that wars are sometimes necessary knowing that children die in war how can we say is never necessary
111,1,Down the rabbit hole,any government big enough to dictate women's personal medical care sex life is too big #prochoice
113,1,,hosting today with fascinating talk on current and future role of #nurses in care
119,1,Canada,i believe in abort #justintrudeau 's government in
130,1,Dublin / Ireland,ff leader michel martin has said that he will vote to remove th amendment from constitution
132,1,USA (Under djt/gop Occupation),to bad his parents hadn't practiced safe sex #ohio #wingnut
138,1,,is murder but murder is natural so i'm chill with it
144,1,"London, England",glued to dil debates on access to this evening #freesafelegal #repealtheth
147,1,Rebel County Cork,water #mauricemccabe #repealtheth #noirinosullivan etcwhatever way wind is blowing eh
154,1,,should we allowed whenever it is requested or should there be restrictions #repealtheth
159,1,"London, Manhattan, Madrid",support of activists denying access to is not surprisingas half world wishes trump had been aborted at birth
160,1,NYC,#ironic considering would have been best #option for his #mother
165,1,Georgia,observation none of #adoption conversation at #efl has yet touched on very specific connection between adoption and
171,1,Sydney Australia,i even think women should have right to use as contraception
172,1,"Durham, England",ok if you really want to end provide free healthcare social security and stop shaming unmarried mothers
