,label,location,tweet_text
,0,"Milford, CT","50 MILLION unborn children have lost their lives to #abortion.  Think #SteveJobs , #DaveThomas."
,0,"Atlanta, Georgia","@LiveAction #ProLife #abortion #Parenthood #babies #motherhood #pregnant #PP #PlannedParenthood = #genocide for money, #bloodmoney #MAGA"
,0,,@NARAL @ProChoiceCA Definitely NOT safe for the baby. #abortion
,0,,@MichaelKellyIC @1Hildegarde I think she wants to see herself as #prolife and pro #abortion but with no empathy for unborn .
,0,,YouTube censors lifesaving abortion information #womenonwaves #abortion #youtube
,1,"Columbus, OH","Along party lines, #abortion fetal remains burial /cremation bill passes #ohio Senate.  24-9, along party lines. Heads to House."
,0,"Columbus, OH",??? Girl Scout troops leave #ohio senate in middle of #abortion bill debate.
,1,"Columbus, OH",But first...another #abortion bill in #ohio senate. This would require bury or cremate fetus remains.
,1,Alabama,"@FoxNews @WhiteHouse @PressSec @realDonaldTrump Stand by for the onslaught of triggered liberals... #abortion  Well done, @realDonaldTrump!"
,0,Somewhere in North West,@LifeNewsHQ #Abortion is #ElectiveSurgery it should never be free of charge.
,0,,"Destroying life doesn't make life better, it takes life &amp; leaves you empty. #abortion #depression  #prolife #Istand4life #MarchforLife"
,0,"Indiana, USA",@tonykatz amazing commentary on #Abortion. @93wibc Tony you hit the nail on the head buddy! #Commonsense
,0,Ireland,What do you think about the decision to limit #abortion access in #Ireland to #12weeks? Vote here:
,0,ExpectTheHolySpirit,"I plead the blood of Jesus over my sins and the sins of America. #God end #abortion and send #revival to #AMERICA. #Jesus, Heal #AMERICA"
,0,"Taluyers, France",@TomiLahren Tomi is an Abortionist #ProLife #abortion . 😂
,0,,Abortion should be illegal. Period. #abortion #AbortionIsMurder
,1,"Chicago, IL","Abortions are good for society. There. I said it
#notsorry #abortions #abortion #babymurder"
,0,"Austin, TX",Sad to see @hulu advertising &amp; condoning #abortion. #PlanBOneStep
,0,,If I got pregnant right now I can honestly say my first reaction would NOT be #abortion
,1,SisterPress,To those fucks who go around spewing their values all over our laws. #abortion #reproductiverights #choice #charter #humanrights #cdnpoli
,0,"Blarney, Co. Cork, Ireland.",@Berlinnaeus @DrtmargTony @campaignforleo @simoncoveney As the case against her has with #abortion.
