,label,location,tweet_text
0,,"Illinois, USA",@fox32news Good riddance filthy degenerate. Too bad IL abolished the death penalty. This guy is prime candidate.
1,,The Box,@fox32news @FoxNews There needs to be an Automatic death penalty for gun crimes.
2,,"daisy, she/her",Anyway anyone who massively murders children deserves the death penalty and that’s my bad opinion of the day
3,,"Phoenix, AZ",@wsvn @FOX10Phoenix Give this peace of shit the death penalty no questions asked why pay taxes to support this peace of shit!
4,,outer heaven,jit need the death penalty for airing douglas out
5,,,@The_Taxdude @suicidyhoe He was obviously held back at some point. Deserves the death penalty
6,,"Poughkeepsie, NY/Villages FL.",The death penalty needs to be reinstated for cop killers and anyone targeting our schools etc.
7,,"Clarke County, Iowa",@AntonioSabatoJr @jen4trump1 That is a tragedy. I hope the suspect gets the death penalty
8,,,@StephenKing Even when he's not screaming... taking full page ads to call for the death penalty for innocent minors.
9,,"Atlanta, GA",@ImNoRoleModel Ahhhhhh this should be interesting on whether he get the death penalty lol
10,,"Margate, FL",death penalty off the rip
11,,,#Nicholas Cruz.   What an idiot! Death penalty!!!
12,,,@nataliegracie98 @realDonaldTrump Like the death penalty! Why is a obviously disturbed 20 yr old still in school?
13,,jax ,people who fart on public transport deserve the death penalty
14,,"Brownsburg, IN","Makes no fucking sense taking the active shooter, who is in custody to the hospital.. Death penalty needs to come back."
15,,minapoles minesoda,"death penalty/indefinite incarceration is too good for school shooters, fucking vivisect them"
16,,Sullivan Wisconsin,@marthamaccallum Death penalty.
17,,"Crawley, England, UK","@borderline_guy America is an disgrace to the first and developed world. Still has guns legalised, still has the death penalty."
18,,WMU,School shooters should get automatic death penalty and then maybe people would stop doing it.
19,,,"@piersmorgan Death penalty is absolutely justified in situations like this, and also necessary to deter these monsters."
20,,,@7777MYNAME Still he committed the crime the penalty is death.
21,,"Eugene, OR","The kind of coward it must take to walk into a school and end innocent lives. Rot in hell. Oh, and Florida has the death penalty."
22,,Dallas TX,The biggest bust n real life human kidnapping ever known to man. N im ok wit killing them wit death penalty bc they gave my kids AIDs.
23,,Lebanon,@DayuuumDanielle @carla_moussa If you have a plan let me know some people deserve death penalty
24,,"Arizona, USA",@marthamaccallum Death Penalty.
25,,Ft Lauderdale  & CT,@vnuek Deserves death penalty
26,,yay area,If my bitch cheat on me ima kill her no funny shit I will take the whole ass death penalty i give no fucks
27,,,@goobisgoofy Death penalty for holding a gun 👀 should help
28,,"Denver, Colorado",That guy is getting the death penalty as soon as possible
29,,"Parkland, FL",So we can give this shithead the death penalty right
30,,"Washington, DC",@bgerh @SenToomey bring back the death penalty sissy and there won't be any more school shootings...
31,,Romania America,@RealMattCouch wft a 20 yr old still in HS? Nicholas Cruz will get death penalty
32,,Solvay new york ,WHAT KIND OF WORLD DO WE LIVE IN WHERE SHOOTING THE ANSWER ITS NOT THAT KID THAT DID THIS BETTER GET THE DEATH PENALTY!!
33,,"Houston, TX","@paphotog @realDonaldTrump Death penalty, first torture North Korea style !!"
34,,"Miami, FL","With #Parkland spree killer in custody, let's see how many Verified Twitter Liberals will argue against Florida's death penalty."
35,,"North Lauderdale, FL",They still do the death penalty anit?
36,,"Dallas, TX",This man deserves the death penalty.
37,,"Arkansas, USA",@marthamaccallum The death penalty is what happens
38,,"Bay City, TX",@lilbnvsty u earn yourself a life sentence or the death penalty 😁
39,,#Texas,"@cheryl_schantz @bretticus8051 .
NO, death penalty, life in prison is  a cake walk for murderers"
40,,,@PaulKonrad Death Penalty
41,,"Chicago, IL",How about a ZERO TOLERANCE policy against any &amp; all mass shooters &amp; domestic terrorists!?!? Automatic death penalty! ☠️😤☠️ #Parkland
42,,,@piersmorgan This means you support the death penalty for certain crimes.
43,,"Manhattan, NY",@realDonaldTrump No death penalty wishes for this white terrorist?
44,,P-LaNd,Sick fuck doesnt even deserve a death penalty...should be tortured for 50+ years ! ! ! #PrayForDouglas
45,,"Arizona, USA",@DarLovesAmerica Death Penalty.
46,,broward,He better get the fucking death penalty
47,,"Scotland, United Kingdom",Bring back the death penalty for loud-eaters
48,,"Broward , Creek",Death Penalty for Nicholas Cruz please and thank you
49,,,just a reminder.. we have the death penalty in Florida.
50,,"Indianola, IA",death penalty for this florida school shooter idc idc
51,,,The death penalty should be abolished. It is inhumane and cruel. Every execution risks killing an innocent person!
52,,United States,@realDonaldTrump America needs to re-inact the death penalty. These school shooters need to be afraid to kill people.
53,,"Indiana, USA",@realDonaldTrump Nicholas Cruz Captured! Now Public Death Penalty!
54,,The Shires,"@TRobinsonNewEra @V_of_Europe Death penalty.
Him, direct &amp; extend family. Suitable message will be sent pour encourager les autres"
55,,,@BenBradleyTV @WGNNews We need death penalty back in Illinois. You kill law enforcement you DIE
56,,Канаду,@BNONews Death penalty
57,,,@OrangeworkC @FlaCrackerBoy And they're CRIMINALS. How about go after the criminals. At least Florida still has the death penalty.
58,,Jerusalem Bethlehem,@Breaking911 Things werent like this when the Death penalty was still around 😠
59,,"Morristown, NJ / Boston, MA",I only support the death penalty for people who you get stuck behind bc they walk too slow bc they're fucking FaceTimeing
60,,Jacksonville Fl,@jaxdotcom Death penalty.
61,,,@chuckwoolery OMG Death penalty to this human fecal matter
62,,"Wisconsin, USA","@VP So, the Kim's support the death penalty - don't you too??"
63,,Duds to Dubs,@BekiWolves82 The death penalty should be brought back😡
64,,Karlsruhe,@T_Bake7 @ACLU Death penalty. Of course this system is only about revenge.
65,,There are only 2 reasons you'd support don dump. 1. You're rich 2. You're dumb. Which are you?,"@FIT_PR0 @ACSOSheriffs Yes, you all means, death penalty. Even though we don't know all the facts."
66,,,"I have to run a poll for an assignment in my AP Gov class. Please feel free to vote and help me out! :)

Do you support the death penalty?"
67,,"Los Angeles, CA",@VCardenas @GenX_Geoff @AP Black guy - Death Penalty
68,,San Francisco Native 415 / Mission Street,On the upside. I instantly won $100 cuz #Penaldo scored a penalty. Always the surest bet I make. #Penaldo getting a penalty + death + taxes
69,,Haiti,@FCN2go Is the death penalty on the table? It should be. This man should be extinguished.
70,,Boston MA,"Three things certain in Life
Death Taxes and a Cristiano Ronaldo penalty"
71,,"San Diego, CA ","Dear Higuain, this is how you score a penalty at the death of a half..."
72,,winnipeg,@rape_roko SPEED IT UNTIL THY PROVED DEATH PENALTY FOR RAPE
73,,,"@EntheosShines Death penalty to anyone, who kills any LEO."
74,,"Texas, USA",@CP24 death penalty is too kind for this guy.
75,,,@piersmorgan This means that u do support the death penalty. Happy to see u doing so
76,,"Somewhere, Near You","@GeorgWebb @TGowdySC Beside, how much intel was sent to Pak ISI? The death penalty is too kind to some."
77,,ig: shvmima ,Ppl who constantly ask u about ur grades deserve the death penalty
78,,,@piersmorgan Then you do support the death penalty.
79,,,@piersmorgan I support the death penalty only when it's used by we the people on  members of the criminal lack of justice system.
80,,st/it/dc/drag/alex/rubie/gay,all locals are banned from watching stranger things and even looking at the kids. the penalty is death no exceptions
81,,"Cookstown, Northern Ireland",@D_e_v_i_l_1983 @BBCBreaking Bring back the death penalty
82,,Questioning your intelligence,@ACSOSheriffs Death penalty....
83,,,@MorganReeseXO Those people deserve the death penalty.
84,,"Florida, USA","@FoxNews For the convicted offender, THE DEATH PENALTY CARRIED OUT IMMEDIATLEY!"
85,,"Montgomery, AL","The nitrogen death penalty bill has made it out of committee, with all but one vote. 11-1"
86,,,@PatUnleashed @TheBlazeKeith I can handle the death penalty because There was DUE PROCESS!!
87,,,@piersmorgan sounds like you really support the death penalty :)
88,,Alabama,Sen Linda Coleman-Madison says she's opposed to the death penalty but believes nitrogen hypoxia would be a more humane method. #alpolitics
89,,"Montgomery, Alabama",Just before this started.. Sen. Vivian figures asked if our death row inmates would become test cases for this new death penalty option.
90,,"Montgomery, Alabama","We are now on senator Pittman's ""death by nitrogen"" bill. 
The legislation would provide another option for the death penalty."
91,,"Warsaw, Poland",@de_touvre @Roger_Moorhouse Maybe because there was not a death penalty for giving the Jews a slice of bread or a glass of water.
92,,,But if a human kills a officer they give them life or the death penalty without a pause
93,,,@55bonnie @BBCBreaking No death penalty either in my opinion it’s way worse to spend the rest of my days locked up then the easy way out!
94,,,@piersmorgan So you support the death penalty
95,,"San Francisco, CA",@TwitchGhosts no +400 I deserve the death penalty
96,,"Hamilton, Ontario",@nationalpost 🇨🇦Needs the death penalty referendum fuck the politicians they do not speak for me
97,,South side of Parts Unknown,Are you for or against the death penalty?
98,,"Hollywood, Los Angeles","@people ""could face death penalty"" ?? - take him out and shoot him now! 😠"
99,,"Rhode Island, USA",@michellemalkin This is why there should never be a death penalty. I'm not against life without parole.
100,,Barclays Center,@JQuaglione Do they still have the death penalty in New York? I would #yesyesyes hope he would make an excellent candidate for that.
101,,South Wales,"@piersmorgan That’s exactly the reason for the death penalty, wish it was her in the UK"
102,,"Medical Lake, WA",The death penalty repeal would have been an interesting 5:00 bill. I'm wondering why it's not up yet. #waleg
103,,Somewhere in the frozen tundra.,"@alexthechick Death penalty consecutively? Awesome, may I have front row seats?"
104,,"Texas, USA",@townhallcom Reinstate automatic death penalty for those convicted of killing a police officer acting in the line of duty.
105,,anywhere man ,@piersmorgan @talkcric Well a do believe in the death penalty. All those who harm kids should be killed
106,,East Texas USA,"@JudicialWatch Treason, penalty is death."
107,,,"@piersmorgan So, by definition, you are for the death penalty, judging each case by it merits (and I use that word loosely)"
108,,London,@thetimes Death penalty would of been far more appropriate
109,,"Melbourne, Québec, Canada",@TheRealJuIian @realDonaldTrump @BarackObama @realDonaldTrump said once you should have the death penalty. So stay hidden and shut up.
110,,"New Prague, MN",@ellisjanine4 @CNN @MSNBC @nbc @ABC @CBS And there u have it.!!! They need to bring back the death penalty for all the cop killers!!!
111,,"Gainesville,Florida",@realDonaldTrump When are we gonna pass a law that makes it an automatic death penalty case for shooting a cop? #Time2TakeAStand
112,,,@ACSOSheriffs Fucking give them both the death penalty they dont deserve to be alive fuckin POS
113,,,"@ACSOSheriffs There are very limited cases where the death penalty is warranted, and needed this is one of them."
114,,,@piersmorgan So you do support the death penalty ?
115,,"Atlanta, GA",@WardrobeDoor So you’re against the death penalty as well?
116,,"Los Gatos, CA","Time to bring back the Internet Death Penalty, y'all."
117,,"Toronto, On",@SputnikInt @TheHoneybee_ Umm...no. Death penalty
118,,,"That dom and jess wedding is a joke like, imagine being an adult human being and agreeing to do that. Bring back the death penalty"
119,,,@piersmorgan So you support the death penalty. Glad you cleared that up.
120,,Nationwide,"@tylerscottball @1968chick For the victim, murder comes with a death penalty - by definition."
121,,"Houston, TX",@BBCWorld In Texas there is a death penalty. But I think they would get life without parole.  Texas don’t play.
122,,New Jersey,@realDonaldTrump @foxandfriends Death penalty. Convicted then walk out and execute them
123,,"Houston, TX",@BBCWorld This is harsh but they deserve death penalty.
124,,"Texas, USA",If you hit women you deserve the death penalty
125,,"California, USA","@trappermike69 You get the death penalty for a taking a flyer? 
Take that shit elsewhere."
126,,,"@NancyGrace Sick, twisted POS. Cut off his male parts so he can only pee. Death penalty is an easy out. Make him live in misery and pain."
127,,Bures,@piersmorgan What a monster disgusting and horrible death penalty all day long
