,label,location,tweet_text
0,,,"I don't know why Donald Trump isnt pro-choice - l mean, hes the very definition of a ""first term abortion"".

#MarchforLife"
1,,New York,@davidabenner @MaybeMonroe @wesleynyc Plenty of Dems running who weren’t members of a political party founded in opposition to abortion...
2,,nil carborundum illegitimi,"@LBC He's stopping Medicare, anti abortion and racist, whats to like?"
3,,United States of America,"@Ikdoehetniet And by I do too, I mean contraceptions. Abortion is murder."
4,,the Terrordome,"Christian TeaVangelicals aren't pro-life, they're just anti-abortion. After a kid is born they don't give a damn about it. #MarchForLife2018"
5,,rochester ny,@PressSec @POTUS Why did he want Melania to have a abortion he's pro life yea he's nothing but a shithole liar
6,,Hawaii,@MyDaughtersArmy Trump's cognitive ability is an abortion.
7,,,"#MarchForLife2018 
Because abortion is murder!!"
8,,407. ☀️,This anti abortion thing needs to go away.
9,,,"@sokerfreak Good sentiments, but at the end of the day we still have to resolve whether women can choose to have an abortion."
10,,philly,"PLEASE DON'T EVER KEEP A BABY BY A NIGGA THAT TOLD YOU TO GET ABORTION !
it won't make him stay around"
11,,"Seattle, WA",I love anti-abortion people who don't want anything to do with those fucked up babies
12,,King of Pissbaby Village,End abortion entirely and ban contraceptives. Illegalize sex
13,,United States,"@gribnitt @WasserL @GrnEyedMandy So a man can force a woman to get an abortion if as you say, ""each carry half of the fetus""?"
14,,Ancapistan ,"@Empnew @JessTilley @BuzzFeedNews There aren’t any living babies to adopt at abortion clinics, they’ve all been murdered."
15,,USA-BOS-FL,"@activist360 It's a March Against Abortion, plain and simple. No solutions offered for the children and parents, once born."
16,,Miami baby,This my goddamn pussy my goddamn body and if I CHOOSE to have an abortion I will. No fucking “prolife” asswipe gonna tell me otherwise.
17,,Sakumono,@OkayGhana Which lucky year had that extra abortion tho? Must be 2017😏
18,,United States,"@realDonaldTrump @March_for_Life Yes, Stormy has my abortion"
19,,"Queens, NY",@realDonaldTrump @March_for_Life Where you lied and said there are states where abortion can happen at 9 months. This is a lie.
20,,Harrisburg,@argusleader Ya stop abortion and killing of innocent children 👶
21,,,"@cor10ee @Morgan35634549 @NBCPolitics @NBCNews Ha, rich....the abortion party chooses LIFE...that is a good one"
22,,,"#MarchforLife abortion is murder! The unborn have a right to experience life, liberty and the pursuit of happiness."
23,,"West Seattle, WAIS","In Trump's world, you can only get an abortion if you are rich enough to pay for them with cash for your 'conquests'."
24,,"Pittsburgh, PA",@CovfefeSteph @CecileRichards PP is about so much more than abortion
25,,,"Didn't Trump want Marla to get an abortion???
#AllTiffaniesMatter"
26,,,@LiveAction Please tell me how this is not a life and abortion isn't murder @KirstenPowers
27,,DTX,I have no idea how anyone can support abortion
28,,"Tucson, AZ",Abortion is bad ass #MarchforLife
29,,"New Jersey, USA",@realDonaldTrump @March_for_Life RT If you think @realDonaldTrump has either paid for or arranged at least one abortion.
30,,On the Shores of Oneida Lake,Don't like abortion? Don't have one! #MarchforLife
31,,,if you really think Abortion is a right to woman go read my pinned tweet now.
32,,occupied lenape land,"much like the 1, 2, 3, 4! 4 unplanned pregnancies in gilmore girls, all unwanted, none resulting in abortion or even adoption!"
33,,,@diannaeanderson Every abortion kills somebody.
34,,,Abortion is never the right choice. #MarchforLife
35,,Roseville → Ann Arbor,what the hell is a born alive abortion survivor
36,,South Jersey,"More people killed via abortion daily in US (2,900) than were killed on 9/11. 
#EndAbortion #Life"
37,,"North Dakota, USA",@Reuters Says the fat rich white dude who knows nothing about women who choose abortion.  I am pro-life/Pro choice.
38,,,@univrsle @CBCAlerts Isn't it the woman's choice to have or not have an abortion? I don't think doctors force a choice either way
39,,,"Suicide,alcoholism,depression,drug abuse &amp;mental breaks are side effects of women &amp; men that made abortion choices #MarchForLife #WhyWeMarch"
40,,"Alberta, Canada","@Ouch1001 @JustinTrudeau So actually the charter says nothing about abortion in it. It does, however, include Freedom of Religion."
41,,United States,"@FoxNews @RepDianeBlack Yeah. The mother’s life. Nobody wants to have an abortion. 
🗣#OurBodiesOurChoice🙅🏼‍♀️"
42,,Trapped in the medical library,@VixenRogue I still need your sources about abortion at 40 wks.
43,,,@ellievhall @anamariecox I suspect that  in Trump's past there lurks his payment(s) for an abortion.
44,,,@JackPosobiec CNN calls pro life anti-abortion. Bias ya think?
45,,,@PressSec @POTUS Except for that time he wanted his girlfriend to get an abortion and she refused Sarah.
46,,"Massachusetts, USA",@realDonaldTrump Just a quick question for you... if you change the abortion laws... will you fund the care of these babies?
47,,,@CNNPolitics How many pregnancies caused by Trump have ended in abortion? 50? 100?
48,,"monterey, ca",It’s not “anti-abortion” but #ProLife @wolfblitzer @CNNSitRoom @cnn
49,,,Most founding fathers were ok with abortion as long as it was don't before the 4th month when fetuses start to move.
50,,"San Francisco, CA","CNN 10:37am ANTI-ABORTION ACTIVISTS RALLY IN WASHINGTON
SOURCE: WH VOWS ""NO DEALS WILL BE CUT"" AT SCHUMER MEETING
TRUMP APPOINTEE..."
51,,,@Reuters We all would be better off if abortion laws of today were in effect before President Trump was conceived. 🙃
52,,Dallas,"@_Makada_ Say it LOUD: I'm black, I escaped abortion, and I'm PROUD...ly #ProLife #ChooseLife  #MarchForLife"
53,,"Edmonton, AB",@CBCAlerts If Trump has never paid for an abortion I'll buy and eat a hat.
54,,United States,"@SamGroypler @emmaogreen Actually, yes, there are plenty of times when an abortion is a medical emergency."
55,,"Placerville, CA",they brought out  anti abortion try cover us wit so people tink its not about them
