,label,location,tweet_text
0,,People's Republic of NJ,@batterista @MadFiest Would you tolerate prior restraint (which is what gun laws are) on your 1st amendment rights? How do they differ?
1,,Chicago,@SenGillibrand supported gun rights “A” w/ @NRA supported end sanctuary cities &amp; increased deportation &amp; drove @alfranken out of Congress
2,,"New Orleans, LA, USA","@AP Tell it to the NRA and all of the rest if the ""gun rights"" people in this country! #AnotherManDead"
3,,The Great White North.,"@Shemp_358 @retail_recruit @rexglacer @AaronWherry Ha ha ha ha .Gun Rights will never be a ""thing"" in Canada"
4,,,@CharlesMBlow @USATODAY gun rights and religious liberties are his focus he says. 😬
5,,,@_HelenDale the biggest disconnect is people who are pro-freedom but support gun control and/or animal rights
6,,"Manchester, England",@GavinFree @Austin_Police Exercise your god given constitutional rights and  buy a a gun and get yourself some firearms training.
7,,,@Vilestorms @sueellissaller @gasmonkey07 @coolcam101 @realDonaldTrump Gun rights until black men are holding the guns.
8,,,@teamtrace America's gun culture is all about promoting total 100% rights over any form of responsibility.
9,,"Mount Holly, NJ",@Gobucks2112 But then again this all started by you defending MS-13 and attacking gun rights.
10,,,@stinchfield1776 Because he knows darn well he will have all his guns and gun rights taken away if he does.
11,,USA ,@johnrobertsFox agreed to part of it . We dont care about porter. What about the unconditional gun laws Massachusetts has passed our rights
12,,"Los Angeles, CA","@NRATV I'm confused by the ""socialist tears"" shirt. What does workers controlling the means of production have to do with gun rights?"
13,,,@SenGillibrand You were also opposed to illegal immigrants' rights and gun control.  Opportunism much?
14,,,@TrueNugget @Salon is one state having stricter gun laws than another infringing on the civil rights of the people in the stricter state?
15,,"Just as I am, I come",I wish white people cared ab black peoples rights as much as they care ab gun rights
16,,Not actually a lawyer,@NRATV What does this have to do with gun rights again?
17,,in the middle of nowhere USA,@NRATV So when is the NRA going to start telling the truth about why you are helping the GOVERNMENT and ATF to take away our gun rights?
18,,"Delaware, USA","@bobby1time Okay let's restore all gun rights to felons, but no voting for the same felons constitutional rights."
19,,"Pennsylvania, USA",@chuckwoolery Dems want equal rights for all. We want responsible gun laws like background checks.
20,,,I don't need a 14 round magazine just like Rosa Parks didn't need to sit at the front of the bus. Rights exist whether we need them or not.
21,,"Las Vegas, NV",@realDonaldTrump @WestervillePD Yeah... that’s why you worked so hard on dealing with gun rights??? You u are a fucking joke.
22,,Northwest Arkansas,@NoahCRothman But gun rights are about so much more than hunting.
23,,,"@Dstroyr_U2b If they don't even have gun rights, how is it they have the same rights as we do? Liberal logic for ya."
24,,"Las Vegas, NV",@shannonrwatts Wrong.  Not a gun rights problem.  TERRORIST PROBLEM
25,,"Washington, USA","@NRATV Hey, thanks for your work in making gun rights advocates look like fringe lunatics. That's a great use of my life membership fee."
26,,Iowa,"Usa should dominate biathalon, we have unrestricted gun rights.  Why aren't whipping everyone?"
27,,,@joe_kehoskie @batterystaple96 @Taniel It can be a separate initiative. Voting rights and Gun rights aren’t the same thing.
28,,"Miami, Fla. • Mérida, Yucatán",@batterystaple96 @Taniel That’s weird. Why should gun rights not be included?
29,,,@NRATV Wtf does this have to do with gun rights?
30,,"Florida, USA","@mattyglesias 😳 They seem nice, not angry or violent at all. Exactly what you want in a gun rights advocacy organization."
31,,"Auckland, New Zealand",@mattyglesias Close. They used to be a gun manufacturers' rights advocacy organisation disguised as a gun rights advocacy organisation.
